Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_STORE,Chrome 113.0.0.0,,,2023-06-03 14:23:43,2023-06-03 14:23:58,14.398s,FAILED
,,,,,,,
Test Cases/Test_Web/Login,Chrome 113.0.0.0,,,2023-06-03 14:23:44,2023-06-03 14:23:50,6.120s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-03 14:23:44,2023-06-03 14:23:47,3.145s,PASSED
"customMethod.Login_Store.loginStore(EMAIL, PASSWORD)",Chrome 113.0.0.0,,,2023-06-03 14:23:47,2023-06-03 14:23:50,2.460s,FAILED
,,,,,,,
Test Cases/Test_Web/Login_fail,Chrome 113.0.0.0,,,2023-06-03 14:23:50,2023-06-03 14:23:58,7.791s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-06-03 14:23:51,2023-06-03 14:23:53,1.996s,PASSED
"navigateToUrl(""http://localhost:3000/account/login"")",Chrome 113.0.0.0,,,2023-06-03 14:23:53,2023-06-03 14:23:54,1.673s,PASSED
"setText(findTestObject(""Object Repository/Object_Store/Login_Store/input_Email""), EMAIL)",Chrome 113.0.0.0,,,2023-06-03 14:23:54,2023-06-03 14:23:55,1.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Object_Store/Login_Store/input_Pass""), PASS_FAIL)",Chrome 113.0.0.0,,,2023-06-03 14:23:55,2023-06-03 14:23:56,0.481s,PASSED
"click(findTestObject(""Object Repository/Object_Store/Login_Store/btn_Login""))",Chrome 113.0.0.0,,,2023-06-03 14:23:56,2023-06-03 14:23:56,0.397s,PASSED
"verifyElementText(findTestObject(""Object_Store/Login_Store/toast_login_fail""), ""Đăng nhập thất bại!"")",Chrome 113.0.0.0,,,2023-06-03 14:23:56,2023-06-03 14:23:57,0.809s,PASSED
"verifyEqual(""Đăng nhập thất bại!"", ""Đăng nhập thất bại!"")",Chrome 113.0.0.0,,,2023-06-03 14:23:57,2023-06-03 14:23:57,0.033s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-06-03 14:23:57,2023-06-03 14:23:58,0.723s,PASSED
